-
Nlp,Nedd8,631667,629086,FBpp0084918,FBpp0080733,0.000,0.000,0.000,0.000,0.513,0.085,0.000,0.000,0.524
T-cp1,Nxt1,630904,623783,FBpp0083684,FBpp0072150,0.000,0.000,0.000,0.000,0.518,0.000,0.000,0.000,0.519
Bub3,smt3,631620,627958,FBpp0084831,FBpp0078984,0.000,0.000,0.000,0.000,0.670,0.077,0.900,0.126,0.967
Rpb5,Tcp-1eta,633109,629518,FBpp0087332,FBpp0081401,0.000,0.000,0.000,0.000,0.457,0.000,0.000,0.000,0.457
CG31184,CG17768,636499,634209,FBpp0289873,FBpp0099642,0.000,0.000,0.000,0.000,0.507,0.787,0.944,0.643,0.997
T-cp1,CG11583,630904,624343,FBpp0083684,FBpp0073098,0.000,0.000,0.000,0.000,0.790,0.000,0.000,0.000,0.790
mtSSB,CG18591,634173,628073,FBpp0099503,FBpp0079182,0.000,0.000,0.000,0.000,0.885,0.000,0.000,0.000,0.885
Arc-p34,smt3,629187,627958,FBpp0080890,FBpp0078984,0.000,0.000,0.000,0.000,0.407,0.123,0.000,0.000,0.446
hoip,Srp19,628237,626496,FBpp0079443,FBpp0076589,0.000,0.000,0.000,0.000,0.301,0.000,0.165,0.504,0.671
icln,geminin,632312,631989,FBpp0086010,FBpp0085480,0.000,0.000,0.000,0.000,0.777,0.000,0.000,0.000,0.776
Nop56,HmgD,630865,623449,FBpp0083625,FBpp0071625,0.000,0.000,0.000,0.000,0.633,0.000,0.000,0.080,0.639
ran,tsr,624491,623750,FBpp0073328,FBpp0072097,0.000,0.000,0.000,0.000,0.636,0.000,0.000,0.000,0.635
FK506-bp1,Tcp-1eta,630225,629518,FBpp0082574,FBpp0081401,0.000,0.000,0.000,0.000,0.885,0.000,0.000,0.000,0.885
CG13298,Srp9,626583,626436,FBpp0076723,FBpp0076467,0.000,0.000,0.000,0.000,0.475,0.000,0.000,0.000,0.475
CG8258,Bub3,633319,631620,FBpp0087764,FBpp0084831,0.000,0.000,0.000,0.000,0.444,0.000,0.000,0.000,0.444
mtSSB,FK506-bp1,634173,630225,FBpp0099503,FBpp0082574,0.000,0.000,0.000,0.000,0.742,0.000,0.000,0.000,0.742
Bub3,Bin1,631620,630329,FBpp0084831,FBpp0082731,0.000,0.000,0.000,0.000,0.777,0.000,0.000,0.000,0.777
snf,CG3527,622872,622826,FBpp0070716,FBpp0070646,0.000,0.000,0.000,0.000,0.539,0.000,0.000,0.000,0.540
mRpL1,mRpL17,629458,623929,FBpp0081322,FBpp0072404,0.000,0.000,0.000,0.000,0.379,0.719,0.000,0.000,0.813
Bin1,Ssb-c31a,630329,628089,FBpp0082731,FBpp0079211,0.000,0.000,0.000,0.000,0.491,0.000,0.000,0.000,0.492
His2Av,eEF1delta,631377,628304,FBpp0084434,FBpp0079542,0.000,0.000,0.000,0.000,0.776,0.078,0.000,0.000,0.780
SmG,Tom20,634940,625312,FBpp0111906,FBpp0074672,0.000,0.000,0.000,0.000,0.499,0.000,0.000,0.000,0.499
T-cp1,me31B,630904,628321,FBpp0083684,FBpp0079565,0.000,0.000,0.000,0.000,0.650,0.000,0.000,0.000,0.650
mRpL12,Ard1,626290,626199,FBpp0076238,FBpp0076081,0.000,0.000,0.000,0.000,0.814,0.000,0.000,0.000,0.814
san,NHP2,633037,625810,FBpp0087227,FBpp0075448,0.112,0.000,0.000,0.000,0.656,0.000,0.000,0.000,0.674
CG8928,CG13364,624877,622501,FBpp0073937,FBpp0070154,0.000,0.000,0.000,0.000,0.401,0.000,0.000,0.000,0.401
His2Av,Gas41,631377,627962,FBpp0084434,FBpp0078992,0.000,0.000,0.000,0.000,0.215,0.713,0.000,0.213,0.798
His2Av,CG11920,631377,631195,FBpp0084434,FBpp0084144,0.000,0.000,0.000,0.000,0.541,0.000,0.000,0.000,0.540
CG11980,l(2)37Cg,629545,629065,FBpp0081443,FBpp0080704,0.000,0.000,0.000,0.000,0.440,0.000,0.000,0.000,0.440
His2Av,CG11583,631377,624343,FBpp0084434,FBpp0073098,0.000,0.000,0.000,0.000,0.794,0.173,0.000,0.000,0.818
Nup62,me31B,632476,628321,FBpp0086294,FBpp0079565,0.000,0.000,0.000,0.000,0.492,0.000,0.000,0.000,0.493
Su(var)205,U2af50,628114,624918,FBpp0079251,FBpp0074013,0.000,0.000,0.000,0.000,0.572,0.000,0.000,0.067,0.573
T-cp1,Pros35,630904,628302,FBpp0083684,FBpp0079538,0.000,0.000,0.208,0.000,0.469,0.000,0.000,0.000,0.551
icln,CG18591,632312,628073,FBpp0086010,FBpp0079182,0.000,0.000,0.000,0.000,0.744,0.605,0.000,0.000,0.892
hoip,CG11811,628237,626155,FBpp0079443,FBpp0075994,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.504,0.646
FBpp0087680,mad2,633275,626642,FBpp0087680,FBpp0076819,0.000,0.000,0.000,0.000,0.169,0.938,0.900,0.872,0.999
CG8860,CG17331,632966,628917,FBpp0087119,FBpp0080490,0.000,0.000,0.000,0.000,0.437,0.000,0.000,0.000,0.436
CG13993,CG11137,627854,627508,FBpp0078822,FBpp0078227,0.000,0.000,0.000,0.000,0.406,0.000,0.000,0.000,0.406
CG31917,CG7597,627761,627373,FBpp0078673,FBpp0078013,0.000,0.000,0.000,0.000,0.000,0.601,0.000,0.000,0.601
FK506-bp1,CG6764,630225,629810,FBpp0082574,FBpp0081879,0.000,0.000,0.000,0.000,0.632,0.173,0.000,0.000,0.675
CG4866,Nop56,636470,630865,FBpp0289829,FBpp0083625,0.000,0.000,0.000,0.000,0.739,0.738,0.000,0.504,0.961
CG6459,Nlp,632332,631667,FBpp0086051,FBpp0084918,0.000,0.000,0.000,0.000,0.862,0.000,0.000,0.000,0.862
CG7048,CG31287,630882,630317,FBpp0083650,FBpp0082710,0.000,0.000,0.000,0.000,0.000,0.000,0.540,0.000,0.540
Cctgamma,CG15676,630363,623423,FBpp0082787,FBpp0071585,0.000,0.000,0.000,0.000,0.173,0.000,0.900,0.064,0.911
Pros35,CG8891,628302,627764,FBpp0079538,FBpp0078684,0.000,0.000,0.000,0.000,0.401,0.000,0.000,0.080,0.412
l(3)01239,REG,626140,624639,FBpp0075967,FBpp0073561,0.000,0.000,0.000,0.000,0.599,0.000,0.000,0.000,0.599
Hel25E,CG15220,627811,624520,FBpp0078754,FBpp0073380,0.000,0.000,0.000,0.000,0.665,0.000,0.000,0.000,0.665
baf,mago,628056,623376,FBpp0079157,FBpp0071497,0.000,0.000,0.000,0.000,0.915,0.000,0.000,0.000,0.915
NHP2,mRpS26,625810,625444,FBpp0075448,FBpp0074887,0.000,0.000,0.000,0.000,0.480,0.000,0.000,0.000,0.481
icln,FK506-bp1,632312,630225,FBpp0086010,FBpp0082574,0.000,0.000,0.000,0.000,0.860,0.000,0.000,0.176,0.877
Rpb5,CG11267,633109,625912,FBpp0087332,FBpp0075609,0.000,0.000,0.000,0.000,0.503,0.000,0.000,0.000,0.504
Csl4,mRpL14,628486,622652,FBpp0079813,FBpp0070389,0.000,0.000,0.000,0.000,0.535,0.000,0.000,0.000,0.534
Nlp,Nap1,631667,623767,FBpp0084918,FBpp0072128,0.000,0.000,0.000,0.000,0.785,0.000,0.000,0.702,0.931
tsu,FK506-bp2,633257,632138,FBpp0087648,FBpp0085703,0.000,0.000,0.000,0.000,0.805,0.000,0.000,0.000,0.805
Cct5,Art1,632951,629741,FBpp0087095,FBpp0081780,0.000,0.000,0.000,0.000,0.745,0.000,0.000,0.000,0.745
Rpb5,CG1307,633109,629376,FBpp0087332,FBpp0081196,0.205,0.000,0.000,0.000,0.615,0.000,0.000,0.000,0.673
CG8860,Srp9,632966,626436,FBpp0087119,FBpp0076467,0.000,0.000,0.000,0.000,0.452,0.000,0.000,0.000,0.453
Set,La,630199,629199,FBpp0082521,FBpp0080906,0.000,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.750
U2af50,mago,624918,623376,FBpp0074013,FBpp0071497,0.000,0.000,0.000,0.000,0.467,0.000,0.900,0.504,0.969
tsu,CG11583,633257,624343,FBpp0087648,FBpp0073098,0.000,0.000,0.000,0.000,0.538,0.123,0.000,0.000,0.568
CG13993,CG7770,627854,625304,FBpp0078822,FBpp0074663,0.000,0.000,0.000,0.000,0.672,0.802,0.927,0.532,0.997
l(3)01239,CG7839,626140,626120,FBpp0075967,FBpp0075937,0.000,0.000,0.000,0.000,0.149,0.000,0.000,0.861,0.873
CG10635,Tom20,626666,625312,FBpp0076858,FBpp0074672,0.000,0.000,0.000,0.000,0.556,0.000,0.000,0.000,0.556
CG8258,REG,633319,624639,FBpp0087764,FBpp0073561,0.000,0.000,0.000,0.000,0.463,0.000,0.000,0.000,0.462
geminin,CG7519,631989,627370,FBpp0085480,FBpp0078009,0.000,0.000,0.000,0.000,0.606,0.000,0.000,0.000,0.605
CG7911,CG8928,631701,624877,FBpp0084971,FBpp0073937,0.000,0.000,0.000,0.000,0.435,0.000,0.000,0.000,0.435
mRpL1,REG,629458,624639,FBpp0081322,FBpp0073561,0.000,0.000,0.000,0.000,0.484,0.000,0.000,0.000,0.484
CG7840,ran,628094,624491,FBpp0079218,FBpp0073328,0.000,0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.571
CG31184,DebB,636499,632965,FBpp0289873,FBpp0087118,0.000,0.000,0.000,0.000,0.954,0.405,0.000,0.616,0.988
CG8258,CG11267,633319,625912,FBpp0087764,FBpp0075609,0.245,0.000,0.000,0.000,0.674,0.171,0.000,0.365,0.842
T-cp1,mago,630904,623376,FBpp0083684,FBpp0071497,0.000,0.000,0.000,0.000,0.416,0.000,0.000,0.000,0.416
Su(var)205,Nap1,628114,623767,FBpp0079251,FBpp0072128,0.000,0.000,0.000,0.000,0.399,0.000,0.000,0.157,0.459
Ssb-c31a,CG13364,628089,622501,FBpp0079211,FBpp0070154,0.000,0.000,0.000,0.000,0.693,0.000,0.000,0.000,0.693
Bin1,ran,630329,624491,FBpp0082731,FBpp0073328,0.000,0.000,0.000,0.000,0.505,0.000,0.000,0.000,0.505
